date;station;true;pred;error;abs_error
2024-03-30;Priekuli;8.3;7.449774123836126;-0.8502258761638748;0.8502258761638748
2024-03-30;Rezekne;8.9;8.373216875278022;-0.5267831247219785;0.5267831247219785
2024-03-30;Rujiena;6.7;6.298699066589255;-0.40130093341074513;0.40130093341074513
2024-03-30;Saldus;8.4;8.483848618772122;0.08384861877212124;0.08384861877212124
2024-03-30;Skulte;6.2;7.412854695342169;1.2128546953421688;1.2128546953421688
2024-03-30;Skriveri;9.5;9.508019101758258;0.008019101758257818;0.008019101758257818
2024-03-30;Stende;7.5;6.693473213547237;-0.8065267864527632;0.8065267864527632
2024-03-30;Ventspils;4.8;4.756740456697951;-0.04325954330204862;0.04325954330204862
2024-03-30;Zilani;9.7;8.746392938780213;-0.9536070612197864;0.9536070612197864
2024-03-30;Zoseni;8.3;8.595388395587687;0.29538839558768615;0.29538839558768615
2024-03-30;Rucava;9.3;8.147750481939088;-1.1522495180609127;1.1522495180609127
2024-03-31;Ainazi;11.7;10.233047099906964;-1.4669529000930357;1.4669529000930357
2024-03-31;Aluksne;10.9;11.8271528773795;0.9271528773795001;0.9271528773795001
2024-03-31;Bauska;13.8;14.558753550326704;0.7587535503267038;0.7587535503267038
2024-03-31;Dagda;13.9;13.910235387862675;0.010235387862675083;0.010235387862675083
2024-03-31;Daugavpils;14.3;15.18368747636012;0.8836874763601195;0.8836874763601195
2024-03-31;Dobele;12.2;13.968156658233097;1.7681566582330976;1.7681566582330976
2024-03-31;Riga;14.2;15.05649804858818;0.8564980485881808;0.8564980485881808
2024-03-31;Gulbene;12.6;10.413017598159065;-2.1869824018409343;2.1869824018409343
2024-03-31;Jelgava;13.6;12.082067337405416;-1.5179326625945837;1.5179326625945837
2024-03-31;Kolka;4.3;8.69003910955294;4.39003910955294;4.39003910955294
2024-03-31;Liepaja;12.3;12.355890608279502;0.05589060827950121;0.05589060827950121
2024-03-31;Madona;11.0;13.376913177610556;2.3769131776105556;2.3769131776105556
2024-03-31;Mersrags;7.9;10.411710007383224;2.5117100073832237;2.5117100073832237
2024-03-31;Pavilosta;10.7;11.08957567529432;0.3895756752943207;0.3895756752943207
2024-03-31;Priekuli;13.3;12.481255849567434;-0.8187441504325665;0.8187441504325665
2024-03-31;Rezekne;13.6;13.038907321659028;-0.5610926783409713;0.5610926783409713
2024-03-31;Rujiena;10.9;11.20056565723658;0.30056565723658046;0.30056565723658046
